


2025-03-20,Fongo,2.2,Landline 911 Service,Other,3,PCF MC
2025-03-20,Hydro One,224.87,Hydro Bill,Other,3,Debit
2025-03-20,The Sterling,38.01,Melissa Lunch,Other,3,PCF MC
2025-03-20,ESSO,75.24,Gas - Car (& hamburger buns),Gas,3,PCF MC
2025-03-21,Janelle,12,Girl Guide Cookies,Other,3,Debit
2025-03-21,Amazon.ca,249.95,Printer Toner; Radon Tester,Other,3,PCF MC
2025-03-22,RBC Life Insurance,74.95,Kevin Insurance,Other,4,PCF MC
2025-03-23,Costco,430.07,Groceries; Sheets; TP; Tpaste,Other,4,PCF MC
2025-03-25,Kanata Optometry Centre,0,Spencer Contact Lenses (138),Other,4,CIBC MC
2025-03-25,Enbridge,174.17,Gas Bill,Other,4,Debit
2025-03-25,Google Premium,25.98,Youtube Premium Bill,Other,4,PCF MC
2025-03-25,Shoppers Drug Mart,3.2,Drink,Other,4,Cash
2025-03-26,Energy Werx E. Ontario,620.37,Pre-retrofit Evaluation ,Other,4,Debit
2025-03-26,City of Ottawa,15.3,Fire Permit,Other,4,CIBC MC
2025-03-26,Domino's Pizza,29.33,Lunch/Supper,Food,4,PCF MC
2025-03-27,Loblaws,102.1,Groceries,Other,4,PCF MC
2025-03-27,MG Hair Salon,30,Amara Threading/Bangs,Other,4,Cash
2025-03-28,M. Mills Animal Hospital,110.03,Triton Nexgard,Other,4,CIBC MC
2025-03-28,Pet Valu,5.63,Tippy Wet Food,Other,4,PCF MC
2025-03-28,ESSO,63.12,Gas - Car,Gas,4,PCF MC
2025-03-29,Deka RONA,27.75,Paint Trays; Softener Salt,Other,5,CIBC MC
2025-03-29,Amazon.ca,12.96,Fountain Filters; Aero Bar,Other,5,CIBC MC
2025-03-29,Ottawa Jazz Festival,370.16,Broken Social Scene Tix (6) ,Other,5,PCF MC
2025-03-29,Bellefontaine Photography,50,Photo Session Deposit,Other,5,Debit
2025-03-31,Mom,40,Olivia Shower Gifts,Other,5,Debit
2025-04-01,Joliet,20,April Money,Other,1,Debit
2025-04-01,Palladium Orthodontics,152.5,Amara Braces 11 (305),Other,1,CIBC MC
2025-04-01,March Road Pet Food,111.02,Triton Nails & Food; T Wet Food,Other,1,CIBC MC
2025-04-01,ESSO,58.95,Gas - Van,Gas,1,PCF MC
2025-04-02,Koodo,11.3,Streaming Bill,Other,1,CIBC MC
2025-04-02,Bobbi Coady,80,Amara Tutoring,Other,1,Debit
2025-04-02,Kanata Hyundai,92.6,Tire Swap,Other,1,PCF MC
2025-04-02,Loblaws,123.34,Groceries,Other,1,PCF MC
2025-04-03,Costco,473.78,Groceries; Easter,Other,1,CIBC MC
2025-04-03,WCSOPA,484.77,Joliet Summer Camp + Audition,Other,1,PCF MC
2025-04-03,Kanata Learning Centre,75,L & A Tutoring (750),Other,1,PCF MC
2025-04-04,WalMart,213.1,Easter; Pads; GF Grocery,Other,1,CIBC MC
2025-04-05,Rogers,73.44,Internet Bill,Other,1,Debit
2025-04-05,St. Michael Parish,10,Offertory,Other,1,PCF MC
2025-04-06,Sobeys,62.91,Spencer Groceries; Bread & Sage,Other,1,PCF MC
2025-04-07,UK ETA,19.71,Linden England ETA,Other,1,PCF MC
2025-04-08,ESSO,49.74,Gas - Van,Gas,2,CIBC MC
2025-04-09,Koodo,230.48,"Cell Phones (-30, owe L $22)",Other,2,CIBC MC
2025-04-09,Loblaws,58.22,Groceries,Other,2,CIBC MC
2025-04-11,Shell,45.74,Gas - Car,Gas,2,PCF MC
2025-04-12,Amazon.ca,63.69,Ann Book; Reusable K-Cups,Other,2,PCF MC
2025-04-12,Second Cup,7.12,Kevin Snack & Drink,Food,2,PCF MC
2025-04-12,Entreprises Marc Dube,7,Parking,Other,2,PCF MC
2025-04-12,St. Hubert,68.7,Supper,Food,2,PCF MC
2025-04-13,Costco,349.6,Groceries; K Protein,Other,2,CIBC MC
2025-04-14,WalMart,218.77,Easter; Courtney Bday,Other,2,CIBC MC
2025-04-14,Loblaws,44.42,Groceries,Other,2,CIBC MC
2025-04-14,Canadian Tire,241.96,L. Ceiling Fan; Sleeping Bag; Easter,Other,2,CIBC MC
2025-04-14,Linden,37.75,20 Pounds,Other,2,Debit
2025-04-14,Emmett,65,Bday Money,Other,2,Cash
2025-04-15,The Bungalow Studio,30,Linden Haircut,Other,3,Cash
2025-04-15,WCOSPA,231.37,Showcase Tickets (301.37),Other,3,CIBC MC
2025-04-15,HSMP,16.89,Alarm System Monitoring,Other,3,PCF MC
2025-04-15,Panda Insulation,0,Attic Insulation Deposit (562.79),Other,3,CIBC MC
2025-04-16,Bobbi Coady,80,Amara Tutoring,Other,3,Debit
2025-04-16,Vance's Garage,172.14,Van Tire Swap & Oil Change,Other,3,CIBC MC
2025-04-17,Eco Ottawa Windows,0,"Windows Deposit (40% - 5,595)",Other,3,CIBC MC
2025-04-18,OCSB,45,A Sandwiches + Museum Trip,Other,3,PCF MC
2025-04-18,Hydro One,197.95,Hydro Bill,Other,3,Debit
2025-04-18,St. Michael Parish,10,Offertory,Other,3,PCF MC
2025-04-18,Healthyplanetcanada.com,110.01,A Skin; Gluten; Sunblock; Soap,Other,3,PCF MC
2025-04-19,St. Isidore Parish,10,Offertory,Other,3,Cash
2025-04-19,ESSO,49.94,Gas - Car,Gas,3,PCF MC
2025-04-19,Sobeys,13.86,Groceries,Other,3,PCF MC
2025-04-19,Dollarama,20.34,Easter,Other,3,PCF MC
2025-04-19,Memaw's Cheesecakes,37.5,Dessert,Other,3,PCF MC
2025-04-19,1818 Farm & Cidery,25.99,Cider,Other,3,PCF MC
2025-04-19,Tea Addic,20,Linda & Allan Teas,Other,3,PCF MC
2025-04-19,Boyview Farms,25,Linda & Allan Meat Pie,Other,3,PCF MC
2025-04-19,Burrito Gringo,53.98,"M, S & A Lunch",Food,3,PCF MC
2025-04-20,Fongo,2.2,Landline 911 Service,Other,3,PCF MC
2025-04-20,ESSO,50.54,Gas - Van,Gas,3,PCF MC
2025-04-21,Sobeys,52.02,S & Us Groceries,Other,3,PCF MC
2025-04-21,March Road Pet Food,38.24,Tippy Wet Food & Litter,Other,3,PCF MC
2025-04-22,Carp Chiro,11.3,Melissa & Joliet (113),Other,4,PCF MC
2025-04-22,RBC Life Insurance,74.95,Kevin Insurance,Other,4,PCF MC
2025-04-23,Enbridge Gas,151.3,Gas Bill,Other,4,Debit
